generation	n_cells
1	2
2	4
3	8
4	15
5	30
6	58
7	111
8	203
9	355
10	566
11	769
12	954
13	973
14	978
15	965
16	962
17	1017
18	1009
19	947
20	988
21	982
22	972
23	997
24	973
25	956
26	992
27	989
28	1004
29	994
30	998
31	988
32	959
33	1007
34	1025
35	1013
36	970
37	970
38	1009
39	1021
40	1007
41	1004
42	1003
43	1004
44	989
45	1005
46	997
47	1018
48	1018
49	1023
50	1020
51	1010
52	987
53	983
54	992
55	1042
56	1024
57	964
58	1010
59	1020
60	1040
61	1012
62	977
63	1030
64	989
65	956
66	971
67	971
68	936
69	968
70	984
71	973
72	984
73	980
74	987
75	981
76	1009
77	1035
78	1043
79	1015
80	1000
81	1021
82	1030
83	1002
84	1013
85	982
86	1003
87	1033
88	1031
89	994
90	995
91	965
92	964
93	973
94	1006
95	981
96	999
97	1020
98	974
99	998
100	979
101	1001
102	1011
103	1046
104	979
105	978
106	977
107	982
108	1022
109	1028
110	1004
111	981
112	1020
113	1013
114	987
115	978
116	998
117	1021
118	992
119	998
120	983
121	998
122	966
123	989
124	975
125	973
126	1017
127	1009
128	968
129	993
130	981
131	993
132	1006
133	1045
134	1022
135	1035
136	1008
137	1047
138	983
139	1004
140	971
141	976
142	1037
143	995
144	990
145	968
146	1005
147	977
148	976
149	1045
150	980
151	1010
152	995
153	985
154	959
155	1017
156	1029
157	1019
158	975
159	1019
160	1004
161	996
162	993
163	1023
164	978
165	1033
166	1026
167	969
168	964
169	970
170	977
171	993
172	1005
173	1024
174	997
175	988
176	983
177	985
178	957
179	987
180	999
181	990
182	1019
183	1010
184	1000
185	976
186	999
187	1034
188	989
189	1008
190	1006
191	1041
192	1001
193	998
194	1007
195	994
196	1009
197	996
198	995
199	974
200	1003
